"Input";"Coordinates"
" ERROR! Input:Singapore 38 SCE Bravo"
"Singapore Sungei Gedong Mt Line";"1.4187312,103.69892219999997"
"Singapore Sungei Gedong Camp 48 SAR";"1.4187312,103.69892219999997"
"Singapore HQ Armour";"1.2986635,103.85507280000002"
"Singapore Sungei Gedong Blk 224";"1.4188204,103.69777060000001"
" ERROR! Input:Singapore Sungei Gedong Camp Blk221 OPFOR"
"Singapore Lim Chu Kang /Sungei";"1.4467195,103.73014890000002"
" ERROR! Input:Singapore Ulu Place after Lim Chu Kang"
" ERROR! Input:Singapore OPFOR"
"Singapore Sungei Gedong 48 SAR";"1.4187312,103.69892219999997"
" ERROR! Input:Singapore 42 SAR cookhouse"
"Singapore Carpark";"1.3389388,103.70946179999999"
"Singapore Wednesday";"1.3071713,103.89533140000003"
" ERROR! Input:Singapore Sungei gedong ACMTL"
"Singapore Gym at Sungei Gedong Camp";"1.4187312,103.69892219999997"
"Singapore Jurong Point";"1.3394861,103.70655850000003"
"Singapore Tree Top Walk @ Venus Drive";"1.3607287,103.8125215"
"Singapore Treetop Walk";"1.3607287,103.8125215"
"Singapore Upper Thomson";"1.3728883,103.82851129999995"
"Singapore Venus Drive";"1.3599505,103.82757489999995"
"Singapore Tree Top Walk Trail";"1.3607287,103.8125215"
"Singapore Windsor Park Estate, Singapore";"1.356958,103.827898"
"Singapore Jireh Veterinary Clinic";"1.3589598,103.82819240000003"
"Singapore Treetopwalk";"1.3607287,103.8125215"
"Singapore UWC Singapore";"1.3585388,103.93181789999994"
"Singapore MacRitchie Trails";"1.3447621,103.82235059999994"
"Singapore Dear Mutt";"1.3584465,103.82766500000002"
"Singapore Hsbc Tree Top Trail";"1.3607287,103.8125215"
"Singapore SICC New Course";"1.3419133,103.81121860000007"
"Singapore MacRitchie Reservoir Nature Trail";"1.3424606,103.82634929999995"
"Singapore Venus Drive HSBC Tree Top Walk Entrance";"1.3607287,103.8125215"
"Singapore University Cultural Center";"1.3015111,103.77188060000003"
"Singapore Blk 451 Sin Ming Avenue";"1.3584688,103.82998109999994"
"Singapore SICC Millennium Course";"1.3419133,103.81121860000007"
"Singapore At Botanical Garden Singapore City";"1.3138397,103.81591359999993"
" ERROR! Input:Singapore Dimitre Delights"
"Singapore Jupiter Road";"1.3579655,103.8255054"
"Singapore Treetop Park";"1.3607287,103.8125215"
"Singapore SICC Island Course";"1.3419133,103.81121860000007"
"Singapore Home";"1.36603,103.86126100000001"
"Singapore PUB Upper Peirce";"1.3677898,103.80278929999997"
"Singapore Windsor Pk";"1.3573055,103.82568479999998"
"Singapore Thomson Three";"1.376071,103.83212300000002"
"Singapore Upper Pierce Reservoir";"1.3677898,103.80278929999997"
"Singapore Venus Drive @ Treetop Walk";"1.3607287,103.8125215"
"Singapore Kool-air Singapore Pte Ltd";"1.358346,103.82764399999996"
"Singapore SJI";"1.322914,103.82859099999996"
"Singapore Inside Bus 855";"3.1234013,101.70882640000002"
"Singapore Thomson Three Showflat";"1.3568,103.82901400000003"
"Singapore Werks Solutions";"1.358609,103.82791550000002"
"Singapore Singapore Island Country Club New Course";"1.3419133,103.81121860000007"
"Singapore 18 Leo Drive";"1.358801,103.82596650000005"
"Singapore 45 Jupiter road";"1.35792,103.82576599999993"
"Singapore Tree Top Walk @ Venus Dr Entrance";"1.3607287,103.8125215"
"Singapore Seoul Garden";"1.2989311,103.8557806"
" ERROR! Input:Singapore PUB Upper Pierce Outletworks"
"Singapore Asian Athletics Association";"1.3032001,103.87503620000007"
"Singapore Mink";"1.291664,103.85847999999999"
"Singapore Food Republic at Bishan Junction 8";"1.3505294,103.84843679999994"
"Singapore 12 Jupiter Rd";"1.358411,103.82647880000002"
"Singapore Bukit Location Golf Course";"1.3419133,103.81121860000007"
"Singapore Blk 451 Sin Ming Ave";"1.3584688,103.82998109999994"
" ERROR! Input:Singapore David Beckhams crib"
"Singapore Island Bowl";"1.3641642,103.82162659999995"
"Singapore Oracle Tattoo";"1.3550458,103.830019"
"Singapore Little Part 1 Cafe";"1.3551394,103.83018500000003"
"Singapore Sweetness Cakes";"1.33497,103.88965570000005"
" ERROR! Input:Singapore Magnifico Studio"
"Singapore Starbucks, Thomson Plaza";"1.354894,103.83106700000008"
