BLK 11 TELOK BLANGAH CRESCENT,01-117,9.30,COOKED FOOD,"$3,666.00",May-2016
,,,,,
BLK 11 TELOK BLANGAH CRESCENT,01-128,9.30,COOKED FOOD,"$3,119.00",Sep-2014
,,,,,
BLK 11 TELOK BLANGAH CRESCENT,01-128,9.30,COOKED FOOD,"$3,002.00",Jun-2015
,,,,,
BLK 11 TELOK BLANGAH CRESCENT,01-132,9.30,INDIAN CUISINE,"$1,100.00",Jan-2015
,,,,,
BLK 112 JALAN BUKIT MERAH,01-15,8.82,HALAL COOKED FOOD,$700.00,Jul-2015
,,,,,
BLK 112 JALAN BUKIT MERAH,01-17,8.82,COOKED FOOD,"$1,180.00",Jan-2014
,,,,,
BLK 112 JALAN BUKIT MERAH,01-19,8.82,INDIAN CUISINE,$888.00,Jan-2014
,,,,,
BLK 115 BUKIT MERAH VIEW,01-12,8.52,HALAL COOKED FOOD,$250.00,May-2016
,,,,,
BLK 115 BUKIT MERAH VIEW,01-25,8.52,HALAL COOKED FOOD,"$1,489.00",Jan-2016
,,,,,
BLK 115 BUKIT MERAH VIEW,01-25,8.52,HALAL COOKED FOOD,"$1,020.00",May-2016
,,,,,
BLK 115 BUKIT MERAH VIEW,01-74,8.52,DRINKS,"$1,800.00",Apr-2012
,,,,,
BLK 115 BUKIT MERAH VIEW,01-74,8.52,DRINKS,"$1,200.00",Apr-2013
,,,,,
BLK 115 BUKIT MERAH VIEW,01-75,8.52,HALAL COOKED FOOD,"$1,000.00",Jan-2013
,,,,,
BLK 115 BUKIT MERAH VIEW,01-75,8.52,HALAL COOKED FOOD,"$1,300.00",May-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-02,6.00,COOKED FOOD,"$1,268.00",Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-05,6.00,COOKED FOOD,$380.00,Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-05,6.00,CUT FRUITS,"$1,851.00",Mar-2016
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-07,6.00,DRINKS,"$1,521.00",Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-07,6.00,COOKED FOOD,"$2,010.00",Jun-2016
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-07,6.00,DRINKS,"$2,083.00",Jan-2017
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-09,6.00,COOKED FOOD,"$1,609.00",Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-10,6.00,COOKED FOOD,"$2,100.00",Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-16,6.00,COOKED FOOD,"$2,010.00",Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-25,6.00,COOKED FOOD,"$1,509.00",Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-29,6.00,COOKED FOOD,"$1,710.00",Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-32,6.00,COOKED FOOD,"$2,000.00",May-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-32,6.00,COOKED FOOD,"$2,139.00",Jul-2016
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-40,6.00,HALAL COOKED FOOD,$200.00,Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-41,6.00,HALAL COOKED FOOD,$388.00,Nov-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-41,6.00,HALAL COOKED FOOD,$601.00,Jul-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-41,6.00,INDIAN CUISINE,$619.00,Aug-2016
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-42,6.00,HALAL COOKED FOOD,$371.00,Aug-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-42,6.00,HALAL COOKED FOOD,$828.00,Dec-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-42,6.00,HALAL COOKED FOOD,"$1,200.00",Aug-2016
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-43,6.00,HALAL COOKED FOOD,$388.00,Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-43,6.00,HALAL COOKED FOOD,"$1,702.00",Mar-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-43,6.00,HALAL COOKED FOOD,$365.00,Dec-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-44,6.00,HALAL COOKED FOOD,$500.00,Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-44,6.00,HALAL COOKED FOOD,$620.00,Feb-2016
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-45,6.00,COOKED FOOD,"$1,609.00",Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-45,6.00,HALAL COOKED FOOD,$350.00,May-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-48,6.00,COOKED FOOD,"$1,509.00",Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-48,6.00,COOKED FOOD,"$1,498.00",Feb-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-52,6.00,COOKED FOOD,"$1,805.00",Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-52,6.00,HALAL COOKED FOOD,$505.05,Aug-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-52,6.00,HALAL COOKED FOOD,$880.00,Jul-2016
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-67,6.00,COOKED FOOD,"$2,650.00",Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-67,6.00,COOKED FOOD,"$2,750.00",Aug-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-67,6.00,COOKED FOOD,"$2,288.00",Feb-2016
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-68,6.00,COOKED FOOD,"$1,850.00",Oct-2014
,,,,,
